timestep,q_value_mean,q_value_std,q_value_max,q_value_min,td_error_mean,td_error_std,loss,exploration_rate,learning_rate,episode_reward_mean,episode_length_mean,success_rate,collision_rate
296000,3.8828494548797607,0.3333107829093933,4.646568298339844,2.6314494609832764,0.14768913388252258,1.7340458631515503,0.0009385218727402389,0.06266983333333331,0.0002,22.00961999,210.4,0.0,0.0
297000,3.9143640995025635,0.34942975640296936,4.51241397857666,2.454728603363037,0.1356848031282425,1.7353856563568115,0.4625558853149414,0.05950316666666655,0.0002,22.008009429999994,217.53,0.0,0.0
298000,3.9265823364257812,0.3796539306640625,4.995639801025391,2.5344057083129883,0.09188543260097504,1.0222996473312378,0.0009287691209465265,0.0563364999999999,0.0002,21.971278519999995,213.2,0.01,0.01
299000,3.915018320083618,0.339036762714386,4.6495890617370605,2.576500654220581,0.023043783381581306,0.025167841464281082,0.0012625963427126408,0.05316983333333325,0.0002,21.97377116,213.11,0.0,0.0
300000,3.9319279193878174,0.35096341371536255,4.513866901397705,2.0146024227142334,0.08396711200475693,0.9766411185264587,0.11892762035131454,0.05000316666666671,0.0002,22.00564527,231.32,0.01,0.0
301000,3.9601070880889893,0.3073934018611908,4.612481594085693,2.5305752754211426,0.0840449258685112,0.9866771101951599,0.0004133525653742254,0.05,0.0002,21.593002229999996,229.79,0.01,0.0
302000,4.026264667510986,0.3421938121318817,5.260593414306641,2.630466938018799,0.02832910045981407,0.02888173796236515,0.001041747978888452,0.05,0.0002,21.02595836,220.74,0.0,0.0
303000,3.9918899536132812,0.3593546152114868,4.905431747436523,2.625601291656494,0.0893435925245285,0.9749296307563782,0.24230431020259857,0.05,0.0002,21.49728215,222.09,0.01,0.0
304000,4.003493309020996,0.33045560121536255,4.752641201019287,2.6436829566955566,0.08357761055231094,0.9821168184280396,0.0007811690447852015,0.05,0.0002,21.53163229999999,222.68,0.0,0.0
305000,4.0025858879089355,0.3261367678642273,4.742487907409668,2.6388516426086426,0.023281585425138474,0.024758566170930862,0.000710361753590405,0.05,0.0002,21.049092939999994,222.54,0.01,0.0
306000,3.998821496963501,0.36058178544044495,5.030302047729492,2.5573201179504395,0.09913978725671768,0.9863410592079163,0.0011169012868776917,0.05,0.0002,21.53885663,220.67,0.01,0.0
307000,4.0586161613464355,0.3587355315685272,5.05224084854126,2.577967643737793,0.032181479036808014,0.03376982361078262,0.000742414325941354,0.05,0.0002,21.54769178,205.47,0.0,0.0
308000,4.0126214027404785,0.3332039713859558,4.616880416870117,2.737851619720459,0.028559572994709015,0.02726375311613083,0.0006374132353812456,0.05,0.0002,21.62577644,208.53,0.01,0.0
309000,4.005749225616455,0.36680492758750916,4.650813579559326,2.5385429859161377,0.08896373212337494,0.9755715727806091,0.0005858204676769674,0.05,0.0002,21.64437872,209.99,0.0,0.0
310000,3.999976634979248,0.34983527660369873,4.701257228851318,2.5969717502593994,0.15145589411258698,1.3729710578918457,0.12164974212646484,0.05,0.0002,22.10553017,214.72,0.01,0.0
311000,4.032875061035156,0.32386070489883423,4.685678958892822,2.527362108230591,0.032882992178201675,0.025233078747987747,0.0008092849748209119,0.05,0.0002,22.114072160000006,213.55,0.01,0.0
312000,3.979212999343872,0.3895025849342346,4.9929704666137695,2.6322836875915527,0.0897553414106369,0.9746996164321899,0.11879140138626099,0.05,0.0002,22.080766260000004,210.32,0.0,0.0
313000,4.007477760314941,0.3905244767665863,4.726210117340088,2.5198183059692383,0.08672083169221878,0.9716477990150452,0.0010868932586163282,0.05,0.0002,21.513581810000005,201.02,0.01,0.0
314000,4.024932384490967,0.3947538435459137,4.785846710205078,2.5424065589904785,0.09157872200012207,0.9835995435714722,0.0007655465742573142,0.05,0.0002,21.02220382,198.71,0.01,0.0
