timestep,episode,fps,elapsed_time,ep_len_mean,ep_rew_mean,train/loss,train/learning_rate,train/n_updates,rollout/exploration_rate,time/total_timesteps
250000,0,216.3956620123061,1155.2911813259125,0,0,0.013110929168760777,0.0002,122498,0.693751225,250000
255000,0,216.0673891966006,1180.1873524188995,0,0,0.08277054643258452,0.0002,124998,0.687626225,255000
260000,0,215.78375586600274,1204.909975528717,0,0,0.007026078645139933,0.0002,127498,0.6815012249999999,260000
265000,0,215.08571465513242,1232.0669479370117,0,0,0.006364603992551565,0.0002,129998,0.6753762249999999,265000
270000,0,214.5972440651106,1258.1708641052246,0,0,0.007458036998286843,0.0002,132498,0.6692512250000002,270000
275000,0,214.05916995038248,1284.6915180683136,0,0,0.022340488620102406,0.0002,134998,0.6631262250000001,275000
280000,0,213.39310399663842,1312.1323733329773,0,0,0.08164167148061097,0.0002,137498,0.6570012249999999,280000
285000,0,213.0418115962154,1337.7655675411224,0,0,0.08456421317532659,0.0002,139998,0.650876225,285000
290000,0,212.42721080713142,1365.173505306244,0,0,0.006430195178836584,0.0002,142498,0.6447512250000001,290000
295000,0,212.06806760528815,1391.0628004074097,0,0,0.08293179888278246,0.0002,144998,0.6386262250000001,295000
300000,0,211.63264822832144,1417.5506591796875,0,0,0.07865782687440515,0.0002,147498,0.632501225,300000
305000,0,208.34115554916826,1463.945033788681,0,0,0.08008242002688348,0.0002,149998,0.626376225,305000
310000,0,208.05362562497194,1490.000470161438,0,0,0.007807401940226555,0.0002,152498,0.6202512250000001,310000
315000,0,207.56733104874075,1517.5798542499542,0,0,0.0038911757292225957,0.0002,154998,0.6141262249999999,315000
320000,0,206.87113046198317,1546.8567280769348,0,0,0.09237452154047787,0.0002,157498,0.6080012250000002,320000
325000,0,206.74813856978588,1571.9609484672546,0,0,0.1019219420850277,0.0002,159998,0.601876225,325000
330000,0,206.364164796342,1599.1148478984833,0,0,0.08611831022426486,0.0002,162498,0.5957512250000001,330000
335000,0,206.03826486573453,1625.9115762710571,0,0,0.10852672439068556,0.0002,164998,0.589626225,335000
340000,0,205.937695571015,1650.9847750663757,0,0,0.020429013296961784,0.0002,167498,0.583501225,340000
345000,0,205.39651279898382,1679.677981376648,0,0,0.010149506852030754,0.0002,169998,0.577376225,345000
350000,0,205.4202738533385,1703.8240356445312,0,0,0.18060603365302086,0.0002,172498,0.5712512250000001,350000
355000,0,205.11084347460783,1730.7714891433716,0,0,0.01322203641757369,0.0002,174998,0.565126225,355000
360000,0,204.65899717374882,1759.0235707759857,0,0,0.10181420855224133,0.0002,177498,0.559001225,360000
365000,0,204.44153816038667,1785.3514666557312,0,0,0.00768464314751327,0.0002,179998,0.5528762249999999,365000
370000,0,204.0186507573725,1813.5596849918365,0,0,0.07656108029186726,0.0002,182498,0.5467512250000002,370000
375000,0,203.6232081351486,1841.6368322372437,0,0,0.16141215153038502,0.0002,184998,0.540626225,375000
380000,0,203.40430193193765,1868.2004086971283,0,0,0.016015241155400872,0.0002,187498,0.5345012250000001,380000
385000,0,203.12643918599522,1895.3711862564087,0,0,0.0952954813838005,0.0002,189998,0.5283762249999999,385000
390000,0,203.03707880750807,1920.8314180374146,0,0,0.09461148222908378,0.0002,192498,0.522251225,390000
395000,0,202.84274193354617,1947.3213398456573,0,0,0.08884175634011626,0.0002,194998,0.5161262250000003,395000
400000,0,202.78556047210407,1972.52703332901,0,0,0.02598539972677827,0.0002,197498,0.5100012250000001,400000
405000,0,200.11606910960228,2023.825481891632,0,0,0.17940538376569748,0.0002,199998,0.503876225,405000
410000,0,199.6049459599174,2054.057318210602,0,0,0.015458834823220968,0.0002,202498,0.497751225,410000
415000,0,199.546869060547,2079.71190905571,0,0,0.032122067641466856,0.0002,204998,0.4916262250000002,415000
420000,0,199.2142357584547,2108.28306722641,0,0,0.08047680417075753,0.0002,207498,0.48550122500000004,420000
425000,0,198.76828717233263,2138.1680450439453,0,0,0.09709581546485424,0.0002,209998,0.4793762249999999,425000
